houseName,address,price,room,bathroom,totalSqft,psf,type,ownership,builtYear,id,detailLink
The Coast at Sentosa Cove,278 Ocean Drive,"S$ 3,880,000",3,4,2024 sqft,"S$ 1,917.00 psf",Condominium,99-year Leasehold,Built: 2010,24436443,https://www.propertyguru.com.sg/listing/for-sale-the-coast-at-sentosa-cove-24436443
663C Punggol Drive,663C Punggol Drive,"S$ 750,000",3,2,1184 sqft,S$ 633.45 psf,HDB Flat,99-year Leasehold,Built: 2015,24793011,https://www.propertyguru.com.sg/listing/hdb-for-sale-663c-punggol-drive-24793011
Reflections at Keppel Bay,23 Keppel Bay View,"S$ 5,188,888",4,3,2626 sqft,"S$ 1,975.97 psf",Condominium,99-year Leasehold,Built: 2013,24597787,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-24597787
Reflections at Keppel Bay,33 Keppel Bay View,"S$ 7,100,000",4,5,2605 sqft,"S$ 2,725.53 psf",Condominium,99-year Leasehold,Built: 2013,24827101,https://www.propertyguru.com.sg/listing/for-sale-reflections-at-keppel-bay-24827101
326 Yishun Ring Road,326 Yishun Ring Road,"S$ 1,068,000",4,3,1646 sqft,S$ 648.85 psf,HDB Flat,99-year Leasehold,Built: 1988,24797755,https://www.propertyguru.com.sg/listing/hdb-for-sale-326-yishun-ring-road-24797755
Parc Clematis,8E Jalan Lempeng,"S$ 1,500,000",2,1,689 sqft,"S$ 2,177.07 psf",Condominium,99-year Leasehold,New Project: 2023,24812636,https://www.propertyguru.com.sg/listing/for-sale-parc-clematis-24812636
Katong V,30 East Coast Road,"S$ 3,688,888",5,3,"2298 sqft (floor), 866 sqft (land)","S$ 4,259.69 psf",,Freehold,,24679920,https://www.propertyguru.com.sg/listing/for-sale-katong-v-24679920
103 Jurong East Street 13,103 Jurong East Street 13,"S$ 688,000",3,2,1291 sqft,S$ 532.92 psf,HDB Flat,99-year Leasehold,Built: 1982,24771501,https://www.propertyguru.com.sg/listing/hdb-for-sale-103-jurong-east-street-13-24771501
Kembangan renovated 2.5 storey inter terrace for sale,Jln Selamat,"S$ 4,200,000",5,3,"3000 sqft (floor), 1889 sqft (land)","S$ 2,223.40 psf",Terraced House,Freehold,,24776826,https://www.propertyguru.com.sg/listing/for-sale-kembangan-renovated-2-5-storey-inter-terrace-for-sale-24776826
Parc Botannia,18 Fernvale Street,"S$ 1,400,000",3,2,872 sqft,"S$ 1,605.50 psf",Condominium,99-year Leasehold,Built: 2022,24402113,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-24402113
Costa Del Sol,72 Bayshore Road,"S$ 3,300,000",4,3,2196 sqft,"S$ 1,502.73 psf",Condominium,99-year Leasehold,Built: 2004,24781593,https://www.propertyguru.com.sg/listing/for-sale-costa-del-sol-24781593
"High Ceiling 3 Storey Freehold Semi D @ D14, Less than 10 mins walk to Kembangan MRT and Amenities",Lorong Marican,"S$ 5,500,000",6,5,"3000 sqft (floor), 2328 sqft (land)","S$ 2,362.54 psf",Semi-Detached House,Freehold,Built: 2000,24192571,https://www.propertyguru.com.sg/listing/for-sale-high-ceiling-3-storey-freehold-semi-d-d14-less-than-10-mins-walk-to-kembangan-mrt-and-amenities-24192571
One Pearl Bank,1 Pearl Bank,"S$ 2,999,999",3,3,1098 sqft,"S$ 2,732.24 psf",Condominium,99-year Leasehold,New Project: 2024,24813203,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-24813203
JadeScape,6 Shunfu Road,"S$ 1,130,000",1,1,527 sqft,"S$ 2,144.21 psf",Condominium,99-year Leasehold,New Project: 2023,24334752,https://www.propertyguru.com.sg/listing/for-sale-jadescape-24334752
Sengkang Grand Residences,82 Compassvale Bow,"S$ 1,249,999",2,1,624 sqft,"S$ 2,003.20 psf",Condominium,99-year Leasehold,New Project: 2023,24834259,https://www.propertyguru.com.sg/listing/for-sale-sengkang-grand-residences-24834259
Sengkang Grand Residences,76 Compassvale Bow,"S$ 1,010,000",1,1,474 sqft,"S$ 2,130.80 psf",Condominium,99-year Leasehold,New Project: 2023,24833471,https://www.propertyguru.com.sg/listing/for-sale-sengkang-grand-residences-24833471
450C Bukit Batok West Avenue 6,450C Bukit Batok West Avenue 6,"S$ 820,000",3,2,1238 sqft,S$ 662.36 psf,HDB Flat,99-year Leasehold,Built: 2019,24443691,https://www.propertyguru.com.sg/listing/hdb-for-sale-450c-bukit-batok-west-avenue-6-24443691
Tribeca by the Waterfront,60 Kim Seng Road,"S$ 1,360,000",1,1,517 sqft,"S$ 2,630.56 psf",Condominium,Freehold,Built: 2010,24800638,https://www.propertyguru.com.sg/listing/for-sale-tribeca-by-the-waterfront-24800638
⭐️ Margoliouth Elevated Plot Stunning Views Wide Frontage Stevens MRT Beside Botanic Garden ⭐️,Margoliouth/Dalvey Estate/Lewis /White House Park,"S$ 25,880,000",10,10,"11500 sqft (floor), 9637 sqft (land)","S$ 2,685.48 psf",Bungalow House,Freehold,,23959071,https://www.propertyguru.com.sg/listing/for-sale-margoliouth-elevated-plot-stunning-views-wide-frontage-stevens-mrt-beside-botanic-garden-23959071
292C Bukit Batok East Avenue 6,292C Bukit Batok East Avenue 6,"S$ 760,000",3,2,1001 sqft,S$ 759.24 psf,HDB Flat,99-year Leasehold,Built: 2017,24719321,https://www.propertyguru.com.sg/listing/hdb-for-sale-292c-bukit-batok-east-avenue-6-24719321
449B Bukit Batok West Avenue 9,449B Bukit Batok West Avenue 9,"S$ 600,000",3,2,1001 sqft,S$ 599.40 psf,HDB Flat,99-year Leasehold,Built: 2017,24778139,https://www.propertyguru.com.sg/listing/hdb-for-sale-449b-bukit-batok-west-avenue-9-24778139
2 Teck Whye Avenue,2 Teck Whye Avenue,"S$ 410,000",2,2,797 sqft,S$ 514.43 psf,HDB Flat,99-year Leasehold,Built: 1983,24847044,https://www.propertyguru.com.sg/listing/hdb-for-sale-2-teck-whye-avenue-24847044
Penrose,30 Sims Drive,"S$ 2,250,000",3,3,1065 sqft,"S$ 2,112.68 psf",Condominium,99-year Leasehold,New Project: 2025,24812445,https://www.propertyguru.com.sg/listing/for-sale-penrose-24812445
The Florence Residences,93 Hougang Avenue 2,"S$ 2,650,000",4,3,1292 sqft,"S$ 2,051.08 psf",Condominium,99-year Leasehold,New Project: 2023,24813996,https://www.propertyguru.com.sg/listing/for-sale-the-florence-residences-24813996
Springside Drive,Springside Drive,"S$ 6,500,000",7,6,"5000 sqft (floor), 4640 sqft (land)","S$ 1,400.86 psf",Detached House,Freehold,Built: 1998,24462371,https://www.propertyguru.com.sg/listing/for-sale-springside-drive-24462371
The Florence Residences,83 Hougang Avenue 2,"S$ 1,688,888",3,2,926 sqft,"S$ 1,823.85 psf",Condominium,99-year Leasehold,New Project: 2023,24616894,https://www.propertyguru.com.sg/listing/for-sale-the-florence-residences-24616894
178A Rivervale Crescent,178A Rivervale Crescent,"S$ 580,000",3,2,1000 sqft,S$ 580.00 psf,HDB Flat,99-year Leasehold,Built: 2013,23953228,https://www.propertyguru.com.sg/listing/hdb-for-sale-178a-rivervale-crescent-23953228
Freehold Semi Detached @ Eaton Walk,Eaton walk/Yio Chu Kang Road,"S$ 4,380,000",5,4,"2627 sqft (floor), 2153 sqft (land)","S$ 2,034.37 psf",Semi-Detached House,Freehold,Built: 1996,24546382,https://www.propertyguru.com.sg/listing/for-sale-freehold-semi-detached-eaton-walk-24546382
367 Bukit Batok Street 31,367 Bukit Batok Street 31,"S$ 435,000",2,2,732 sqft,S$ 594.26 psf,HDB Flat,99-year Leasehold,Built: 1985,24794756,https://www.propertyguru.com.sg/listing/hdb-for-sale-367-bukit-batok-street-31-24794756
One Draycott,1 Draycott Park,"S$ 2,360,000",2,2,732 sqft,"S$ 3,224.04 psf",Condominium,Freehold,Built: 2022,24806279,https://www.propertyguru.com.sg/listing/for-sale-one-draycott-24806279
THE LAKEGARDEN RESIDENCES,YUAN CHING ROAD,"S$ 2,700,000",4,4,1335 sqft,"S$ 2,022.47 psf",Condominium,99-year Leasehold,,24804456,https://www.propertyguru.com.sg/listing/for-sale-the-lakegarden-residences-24804456
Serangoon Gardens Renovated Detached,Serangoon gardens,"S$ 12,300,000",7,5,"7000 sqft (floor), 5350 sqft (land)","S$ 2,299.07 psf",Detached House,999-year Leasehold,Built: 2013,24523912,https://www.propertyguru.com.sg/listing/for-sale-serangoon-gardens-renovated-detached-24523912
Serangoon Garden Estate,Chartwell Drive,"S$ 5,500,000",4,3,"2800 sqft (floor), 3448 sqft (land)","S$ 1,595.13 psf",,,,24693823,https://www.propertyguru.com.sg/listing/for-sale-serangoon-garden-estate-24693823
Rezi 24,39 Lorong 24 Geylang,"S$ 938,000",2,2,549 sqft,"S$ 1,708.56 psf",Apartment,Freehold,Built: 2022,24677657,https://www.propertyguru.com.sg/listing/for-sale-rezi-24-24677657
Renovated Terrace @Telok Kurau,Telok Kurau Road,"S$ 4,680,000",5,4,"2400 sqft (floor), 1744 sqft (land)","S$ 2,683.49 psf",Terraced House,Freehold,Built: 2013,24746884,https://www.propertyguru.com.sg/listing/for-sale-renovated-terrace-telok-kurau-24746884
Normanton Park,51 Normanton Park,"S$ 1,280,000",1,1,527 sqft,"S$ 2,428.84 psf",Condominium,99-year Leasehold,New Project: 2023,24819080,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-24819080
448 Yishun Ring Road,448 Yishun Ring Road,"S$ 548,000",3,2,990 sqft,S$ 553.54 psf,HDB Flat,99-year Leasehold,Built: 2011,24835276,https://www.propertyguru.com.sg/listing/hdb-for-sale-448-yishun-ring-road-24835276
Starlight Suites,11 River Valley Close,"S$ 1,700,000",1,1,775 sqft,"S$ 2,193.55 psf",Condominium,Freehold,Built: 2014,23837345,https://www.propertyguru.com.sg/listing/for-sale-starlight-suites-23837345
The Tre Ver,60 Potong Pasir Avenue 1,"S$ 1,500,000",2,2,700 sqft,"S$ 2,142.86 psf",Condominium,99-year Leasehold,,24843519,https://www.propertyguru.com.sg/listing/for-sale-the-tre-ver-24843519
290D Bukit Batok East Avenue 3,290D Bukit Batok East Avenue 3,"S$ 698,000",3,2,1302 sqft,S$ 536.10 psf,HDB Flat,99-year Leasehold,Built: 1996,24798309,https://www.propertyguru.com.sg/listing/hdb-for-sale-290d-bukit-batok-east-avenue-3-24798309
290D Bukit Batok East Avenue 3,290D Bukit Batok East Avenue 3,"S$ 698,000",3,2,1302 sqft,S$ 536.10 psf,HDB Flat,99-year Leasehold,Built: 1996,24798309,https://www.propertyguru.com.sg/listing/hdb-for-sale-290d-bukit-batok-east-avenue-3-24798309
Parc Botannia,18 Fernvale Street,"S$ 1,680,000",3,3,1055 sqft,"S$ 1,592.42 psf",Condominium,99-year Leasehold,Built: 2022,24765978,https://www.propertyguru.com.sg/listing/for-sale-parc-botannia-24765978
Seletar Hills Estate,Seletar Hills Drive,"S$ 5,100,000",4,3,"2212 sqft (floor), 3990 sqft (land)","S$ 1,278.20 psf",Semi-Detached House,999-year Leasehold,,24713936,https://www.propertyguru.com.sg/listing/for-sale-seletar-hills-estate-24713936
Pristine Heights,77 Mergui Road,"S$ 2,438,888",4,3,1356 sqft,"S$ 1,798.59 psf",Apartment,Freehold,Built: 2008,24444763,https://www.propertyguru.com.sg/listing/for-sale-pristine-heights-24444763
505 Bukit Batok Street 52,505 Bukit Batok Street 52,"S$ 400,000",2,2,743 sqft,S$ 538.36 psf,HDB Flat,99-year Leasehold,Built: 1985,24824335,https://www.propertyguru.com.sg/listing/hdb-for-sale-505-bukit-batok-street-52-24824335
182B Marsiling Greenview,182B Woodlands Street 13,"S$ 750,000",3,2,1216 sqft,S$ 616.78 psf,HDB Flat,99-year Leasehold,Built: 2018,24828275,https://www.propertyguru.com.sg/listing/hdb-for-sale-182b-marsiling-greenview-24828275
5 Changi Village Road,5 Changi Village Road,"S$ 350,000",2,1,710 sqft,S$ 492.96 psf,HDB Flat,99-year Leasehold,Built: 1981,24796109,https://www.propertyguru.com.sg/listing/hdb-for-sale-5-changi-village-road-24796109
169C Punggol Field,169C Punggol Field,"S$ 598,000",3,2,990 sqft,S$ 604.04 psf,HDB Flat,99-year Leasehold,Built: 2012,24811539,https://www.propertyguru.com.sg/listing/hdb-for-sale-169c-punggol-field-24811539
291 Tampines Street 22,291 Tampines Street 22,"S$ 449,000",2,2,785 sqft,S$ 571.97 psf,HDB Flat,99-year Leasehold,Built: 1983,24695546,https://www.propertyguru.com.sg/listing/hdb-for-sale-291-tampines-street-22-24695546
Treasure at Tampines,49 Tampines Lane,"S$ 1,319,413",2,2,678 sqft,"S$ 1,946.04 psf",Condominium,99-year Leasehold,New Project: 2023,24721223,https://www.propertyguru.com.sg/listing/for-sale-treasure-at-tampines-24721223
Holland Area Corner Terrace For Sale. 1km From Henry Park Primary Schl,,"S$ 6,299,000",4,3,"2000 sqft (floor), 2716 sqft (land)","S$ 2,319.22 psf",,999-year Leasehold,,24833693,https://www.propertyguru.com.sg/listing/for-sale-holland-area-corner-terrace-for-sale-1km-from-henry-park-primary-schl-24833693
Mount Sinai Corner Terrace,,"S$ 6,299,000",4,3,"2200 sqft (floor), 2716 sqft (land)","S$ 2,319.22 psf",,999-year Leasehold,,24728878,https://www.propertyguru.com.sg/listing/for-sale-mount-sinai-corner-terrace-24728878
"⭐️Brand New! High floor, Unblock, Good sized 1+Study facing BUGIS⭐️",Middle road,"S$ 1,500,000",2,1,527 sqft,"S$ 2,846.30 psf",Apartment,99-year Leasehold,,24770625,https://www.propertyguru.com.sg/listing/for-sale-brand-new-high-floor-unblock-good-sized-1-study-facing-bugis-24770625
"⭐️District 10, Nanyang Primary School. Designer unit! 6m+ High Ceiling , Best sized 2+Study⭐️",,"S$ 2,180,000",3,2,1163 sqft,"S$ 1,874.46 psf",Condominium,99-year Leasehold,Built: 2017,24839059,https://www.propertyguru.com.sg/listing/for-sale-district-10-nanyang-primary-school-designer-unit-6m-high-ceiling-best-sized-2-study-24839059
240 Jurong East Street 21,240 Jurong East Street 21,"S$ 589,000",3,2,1302 sqft,S$ 452.38 psf,HDB Flat,99-year Leasehold,Built: 1981,24753478,https://www.propertyguru.com.sg/listing/hdb-for-sale-240-jurong-east-street-21-24753478
468A Meadow Spring @ Yishun,468A Yishun Street 43,"S$ 598,000",3,2,1001 sqft,S$ 597.40 psf,HDB Flat,,,24728573,https://www.propertyguru.com.sg/listing/hdb-for-sale-468a-meadow-spring-yishun-24728573
Treasure at Tampines,17 Tampines Lane,"S$ 1,130,000",2,2,614 sqft,"S$ 1,840.39 psf",Condominium,99-year Leasehold,New Project: 2023,24808423,https://www.propertyguru.com.sg/listing/for-sale-treasure-at-tampines-24808423
166A Yung Kuang Court,166A Yung Kuang Road,"S$ 735,000",3,2,1216 sqft,S$ 604.44 psf,HDB Flat,99-year Leasehold,Built: 2017,24572372,https://www.propertyguru.com.sg/listing/hdb-for-sale-166a-yung-kuang-court-24572372
349 Corporation Drive,349 Corporation Drive,"S$ 545,000",3,2,1098 sqft,S$ 496.36 psf,HDB Flat,99-year Leasehold,Built: 1997,24841505,https://www.propertyguru.com.sg/listing/hdb-for-sale-349-corporation-drive-24841505
Alana,106 Sunrise Terrace,"S$ 2,988,888",3,4,2756 sqft,,Terraced House,103-year Leasehold,Built: 2019,24713040,https://www.propertyguru.com.sg/listing/for-sale-alana-24713040
Alana,106 Sunrise Terrace,"S$ 2,988,888",3,4,2756 sqft,,Terraced House,103-year Leasehold,Built: 2019,24713040,https://www.propertyguru.com.sg/listing/for-sale-alana-24713040
The Woodleigh Residences,23 Bidadari Park Drive,"S$ 1,528,888",2,2,667 sqft,"S$ 2,292.19 psf",Apartment,99-year Leasehold,New Project: 2023,24711048,https://www.propertyguru.com.sg/listing/for-sale-the-woodleigh-residences-24711048
Espira Residence,80 Lorong K Telok Kurau,"S$ 1,788,888",2,2,1432 sqft,"S$ 1,249.22 psf",Apartment,Freehold,Built: 2010,24710905,https://www.propertyguru.com.sg/listing/for-sale-espira-residence-24710905
487A Choa Chu Kang Avenue 5,487A Choa Chu Kang Avenue 5,"S$ 628,000",3,2,1216 sqft,S$ 516.45 psf,HDB Flat,99-year Leasehold,Built: 2015,24825005,https://www.propertyguru.com.sg/listing/hdb-for-sale-487a-choa-chu-kang-avenue-5-24825005
505 Bukit Batok Street 52,505 Bukit Batok Street 52,"S$ 400,000",2,1,742 sqft,S$ 539.08 psf,HDB Flat,99-year Leasehold,Built: 1985,24818274,https://www.propertyguru.com.sg/listing/hdb-for-sale-505-bukit-batok-street-52-24818274
La Vida @ 130,130 Lorong K Telok Kurau,"S$ 1,300,000",2,3,936 sqft,"S$ 1,388.89 psf",Condominium,Freehold,Built: 2015,24114251,https://www.propertyguru.com.sg/listing/for-sale-la-vida-130-24114251
Gramercy Park,57 Grange Road,"S$ 6,880,000",3,4,1991 sqft,"S$ 3,455.55 psf",Condominium,Freehold,Built: 2016,24736872,https://www.propertyguru.com.sg/listing/for-sale-gramercy-park-24736872
Costa Rhu,3 Rhu Cross,"S$ 3,000,000",3,4,2154 sqft,"S$ 1,392.76 psf",Condominium,99-year Leasehold,Built: 1998,24516751,https://www.propertyguru.com.sg/listing/for-sale-costa-rhu-24516751
Penrose,26 Sims Drive,"S$ 2,288,000",3,3,1044 sqft,"S$ 2,191.57 psf",Condominium,99-year Leasehold,New Project: 2025,24766200,https://www.propertyguru.com.sg/listing/for-sale-penrose-24766200
Kent Ridge Hill Residences,50A South Buona Vista Road,"S$ 1,599,000",2,2,775 sqft,"S$ 2,063.23 psf",Condominium,99-year Leasehold,New Project: 2024,24746862,https://www.propertyguru.com.sg/listing/for-sale-kent-ridge-hill-residences-24746862
Kent Ridge Hill Residences,64A South Buona Vista Road,"S$ 3,750,000",4,5,1927 sqft,"S$ 1,946.03 psf",Condominium,99-year Leasehold,New Project: 2024,24516721,https://www.propertyguru.com.sg/listing/for-sale-kent-ridge-hill-residences-24516721
Casa Merah,70 Tanah Merah Kechil Avenue,"S$ 1,449,999",2,2,947 sqft,"S$ 1,531.15 psf",Condominium,99-year Leasehold,Built: 2009,24824100,https://www.propertyguru.com.sg/listing/for-sale-casa-merah-24824100
LANDED7772 Presents Walk To Kong Hwa In Less Than 5 Minutes,,"S$ 6,280,000",5,7,"4680 sqft (floor), 1540 sqft (land)","S$ 4,077.92 psf",Terraced House,Freehold,,24160502,https://www.propertyguru.com.sg/listing/for-sale-landed7772-presents-walk-to-kong-hwa-in-less-than-5-minutes-24160502
Ricchezza,94 Telok Kurau Lorong M,"S$ 1,620,000",2,2,1259 sqft,"S$ 1,286.74 psf",Condominium,Freehold,Built: 2011,24818095,https://www.propertyguru.com.sg/listing/for-sale-ricchezza-24818095
The Poiz Residences,8 Meyappa Chettiar Road,"S$ 3,150,000",4,3,1528 sqft,"S$ 2,061.52 psf",Condominium,99-year Leasehold,Built: 2018,24252893,https://www.propertyguru.com.sg/listing/for-sale-the-poiz-residences-24252893
Treasure at Tampines,47 Tampines Lane,"S$ 1,825,999",3,3,1033 sqft,"S$ 1,767.67 psf",Condominium,99-year Leasehold,New Project: 2023,24786630,https://www.propertyguru.com.sg/listing/for-sale-treasure-at-tampines-24786630
Highgate Park,Highgate Crescent,"S$ 4,800,000",4,4,"2500 sqft (floor), 2060 sqft (land)","S$ 2,330.10 psf",Terraced House,Freehold,,24562064,https://www.propertyguru.com.sg/listing/for-sale-highgate-park-24562064
127D Kim Tian Road,127D Kim Tian Road,"S$ 1,000,000",3,2,1001 sqft,S$ 999.00 psf,HDB Flat,99-year Leasehold,Built: 2011,24692923,https://www.propertyguru.com.sg/listing/hdb-for-sale-127d-kim-tian-road-24692923
692 Jurong West Central 1,692 Jurong West Central 1,"S$ 630,000",3,2,1098 sqft,S$ 573.77 psf,HDB Flat,99-year Leasehold,Built: 1996,24846970,https://www.propertyguru.com.sg/listing/hdb-for-sale-692-jurong-west-central-1-24846970
143 Lorong 2 Toa Payoh,143 Lorong 2 Toa Payoh,"S$ 815,000",3,2,968 sqft,S$ 841.94 psf,HDB Flat,99-year Leasehold,Built: 2002,24594962,https://www.propertyguru.com.sg/listing/hdb-for-sale-143-lorong-2-toa-payoh-24594962
V on Shenton,5A Shenton Way,"S$ 1,000,000",,,441 sqft,"S$ 2,267.57 psf",Condominium,99-year Leasehold,Built: 2017,24750566,https://www.propertyguru.com.sg/listing/for-sale-v-on-shenton-24750566
The M Condo,30 Middle Road,"S$ 1,300,000",1,1,452 sqft,"S$ 2,876.11 psf",Condominium,99-year Leasehold,New Project: 2024,24790765,https://www.propertyguru.com.sg/listing/for-sale-the-m-condo-24790765
663C Punggol Drive,663C Punggol Drive,"S$ 750,000",3,2,1184 sqft,S$ 633.45 psf,HDB Flat,99-year Leasehold,Built: 2015,24839756,https://www.propertyguru.com.sg/listing/hdb-for-sale-663c-punggol-drive-24839756
91 Dawson Road,91 Dawson Road,"S$ 728,000",2,2,699 sqft,"S$ 1,041.49 psf",HDB Flat,99-year Leasehold,Built: 2015,24755981,https://www.propertyguru.com.sg/listing/hdb-for-sale-91-dawson-road-24755981
Marina Bay Residences,18 Marina Boulevard,"S$ 19,300,000",5,6,4478 sqft,"S$ 4,309.96 psf",Condominium,99-year Leasehold,Built: 2010,23764495,https://www.propertyguru.com.sg/listing/for-sale-marina-bay-residences-23764495
Kent Ridge Hill Residences,68 South Buona Vista Road,"S$ 1,300,000",2,1,646 sqft,"S$ 2,012.38 psf",Condominium,99-year Leasehold,New Project: 2024,24610223,https://www.propertyguru.com.sg/listing/for-sale-kent-ridge-hill-residences-24610223
Park Villas,Park Villas Rise,"S$ 3,570,000",5,4,1630 sqft,,Terraced House,99-year Leasehold,Built: 1998,24389408,https://www.propertyguru.com.sg/listing/for-sale-park-villas-24389408
Margaret Ville,20 Margaret Dr,"S$ 1,150,000",1,1,463 sqft,"S$ 2,483.80 psf",Condominium,99-year Leasehold,Built: 2021,23150898,https://www.propertyguru.com.sg/listing/for-sale-margaret-ville-23150898
11 Jalan Batu,11 Jalan Batu,"S$ 995,000",4,2,1496 sqft,S$ 665.11 psf,HDB Flat,99-year Leasehold,Built: 1986,24544093,https://www.propertyguru.com.sg/listing/hdb-for-sale-11-jalan-batu-24544093
Scotts Square,6 Scotts Road,"S$ 3,160,000",2,2,947 sqft,"S$ 3,336.85 psf",Apartment,Freehold,Built: 2011,24785734,https://www.propertyguru.com.sg/listing/for-sale-scotts-square-24785734
Dahlia Park Condo,7 Flora Drive,"S$ 1,200,000",2,2,1066 sqft,"S$ 1,125.70 psf",Condominium,Freehold,Built: 2004,24287880,https://www.propertyguru.com.sg/listing/for-sale-dahlia-park-condo-24287880
Stirling Residences,21 Stirling Road,"S$ 1,450,000",2,1,624 sqft,"S$ 2,323.72 psf",Condominium,99-year Leasehold,Built: 2022,24546799,https://www.propertyguru.com.sg/listing/for-sale-stirling-residences-24546799
The Sail @ Marina Bay,6 Marina Boulevard,"S$ 1,380,000",1,1,678 sqft,"S$ 2,035.40 psf",Condominium,99-year Leasehold,Built: 2008,24359157,https://www.propertyguru.com.sg/listing/for-sale-the-sail-marina-bay-24359157
Edelweiss Park Condo,80 Flora Road,"S$ 2,980,000",4,3,3197 sqft,S$ 932.12 psf,Condominium,Freehold,Built: 2006,24462468,https://www.propertyguru.com.sg/listing/for-sale-edelweiss-park-condo-24462468
Marina One Residences,21 Marina Way,"S$ 1,780,000",2,1,753 sqft,"S$ 2,363.88 psf",Condominium,99-year Leasehold,Built: 2017,24225929,https://www.propertyguru.com.sg/listing/for-sale-marina-one-residences-24225929
The Tre Ver,60 Potong Pasir Avenue 1,"S$ 1,380,000",2,2,700 sqft,"S$ 1,971.43 psf",Condominium,99-year Leasehold,,24276046,https://www.propertyguru.com.sg/listing/for-sale-the-tre-ver-24276046
The Sail @ Marina Bay,2 Marina Boulevard,"S$ 1,380,000",1,1,657 sqft,"S$ 2,100.46 psf",Apartment,99-year Leasehold,Built: 2008,21990438,https://www.propertyguru.com.sg/listing/for-sale-the-sail-marina-bay-21990438
Renovated Freehold Modern Jalan Kayu Freehold Terrace,,"S$ 4,200,000",5,5,"3250 sqft (floor), 1716 sqft (land)","S$ 2,447.55 psf",Terraced House,Freehold,,23945749,https://www.propertyguru.com.sg/listing/for-sale-renovated-freehold-modern-jalan-kayu-freehold-terrace-23945749
The Florence Residences,99 Hougang Avenue 2,"S$ 855,000",1,1,484 sqft,"S$ 1,766.53 psf",Condominium,99-year Leasehold,New Project: 2023,24327140,https://www.propertyguru.com.sg/listing/for-sale-the-florence-residences-24327140
Move-In Ready Detached House With Generous Land Plot @ Lorong Tanggam,Lorong Tanggam/Jalan Kayu/Yio Chu Kang,"S$ 8,500,000",10,10,"10000 sqft (floor), 4984 sqft (land)","S$ 1,705.46 psf",Detached House,999-year Leasehold,Built: 2013,24765031,https://www.propertyguru.com.sg/listing/for-sale-move-in-ready-detached-house-with-generous-land-plot-lorong-tanggam-24765031