houseName,price,room,bathroom,totalSqft,psf,type,ownership,builtYear,id
The Florence Residences,"S$ 1,688,888",3,2,926 sqft,"S$ 1,823.85 psf",Condominium,99-year Leasehold,New Project: 2023,24616894
Rivervale Crescent,"S$ 580,000",3,2,1000 sqft,S$ 580.00 psf,HDB Flat,99-year Leasehold,Built: 2013,23953228
Freehold Eaton Walk,"S$ 4,380,000",5,4,"2627 sqft (floor), 2153 sqft (land)","S$ 2,034.37 psf",Semi-Detached House,Freehold,Built: 1996,24546382
Bukit Batok Street 31,"S$ 435,000",2,2,732 sqft,S$ 594.26 psf,HDB Flat,99-year Leasehold,Built: 1985,24794756
One Draycott,"S$ 2,360,000",2,2,732 sqft,"S$ 3,224.04 psf",Condominium,Freehold,Built: 2022,24806279
Serangoon Gardens Renovated Detached,"S$ 12,300,000",7,5,"7000 sqft (floor), 5350 sqft (land)","S$ 2,299.07 psf",Detached House,999-year Leasehold,Built: 2013,24523912
Rezi 24,"S$ 938,000",2,2,549 sqft,"S$ 1,708.56 psf",Apartment,Freehold,Built: 2022,24677657
Renovated Terrace @Telok Kurau,"S$ 4,680,000",5,4,"2400 sqft (floor), 1744 sqft (land)","S$ 2,683.49 psf",Terraced House,Freehold,Built: 2013,24746884
Normanton Park,"S$ 1,280,000",1,1,527 sqft,"S$ 2,428.84 psf",Condominium,99-year Leasehold,New Project: 2023,24819080
Yishun Ring Road,"S$ 548,000",3,2,990 sqft,S$ 553.54 psf,HDB Flat,99-year Leasehold,Built: 2011,24835276
Starlight Suites,"S$ 1,700,000",1,1,775 sqft,"S$ 2,193.55 psf",Condominium,Freehold,Built: 2014,23837345
Treasure at Tampines,"S$ 1,130,000",2,2,614 sqft,"S$ 1,840.39 psf",Condominium,99-year Leasehold,New Project: 2023,24808423
The Woodleigh Residences,"S$ 1,528,888",2,2,667 sqft,"S$ 2,292.19 psf",Apartment,99-year Leasehold,New Project: 2023,24711048
Espira Residence,"S$ 1,788,888",2,2,1432 sqft,"S$ 1,249.22 psf",Apartment,Freehold,Built: 2010,24710905
Costa Rhu,"S$ 3,000,000",3,4,2154 sqft,"S$ 1,392.76 psf",Condominium,99-year Leasehold,Built: 1998,24516751
Kent Ridge Hill Residences,"S$ 1,599,000",2,2,775 sqft,"S$ 2,063.23 psf",Condominium,99-year Leasehold,New Project: 2024,24746862
Sky @ Eleven,"S$ 11,888,888",5,5,5490 sqft,"S$ 2,165.55 psf",Condominium,Freehold,Built: 2010,24738106
The Nautical,"S$ 1,100,000",2,2,786 sqft,"S$ 1,399.49 psf",Condominium,99-year Leasehold,Built: 2016,24820015
Bukit Batok West Avenue 8,"S$ 799,999",3,2,1205 sqft,S$ 663.90 psf,HDB Flat,99-year Leasehold,Built: 2017,24628030